Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags
ESG TECH PRIVATE LIMITED,2018,,Pre-seed,,
NEWFON ROBOTIC PTE. LTD.,2018,,Pre-seed,,
AI BIO PTE. LTD.,2018,,Pre-seed,,
ADAFACE PTE. LTD.,2018,,Pre-seed,,
HAWKERMATIC PTE. LTD.,2018,,Pre-seed,,
DOZER DATA PTE. LTD.,2022,,Pre-seed,,
FLEXOS GLOBAL PTE. LTD.,2022,,Pre-seed,,
PLANET NET ZERO PTE. LTD.,2022,,Pre-seed,,
AUREUM TECH PTE. LTD.,2021,,Pre-seed,,
CAPITAL J (SG) PTE. LTD.,2022,,Pre-seed,,
FUND THE WORLD PTE. LTD.,2022,,Pre-seed,,
HAULIO INVESTMENT HOLDINGS PTE. LTD.,2022,,Pre-seed,,
SCOPE INNOVATION PTE. LTD.,2022,,Pre-seed,,
SWIPEY PTE. LTD.,2021,,Pre-seed,,
HASHMETA GROUP HOLDING PTE. LTD.,2019,,Pre-seed,,
SAMA NEXTGEN PTE. LTD.,2018,,Pre-seed,,
CLARITAS HEALTHTECH PTE. LTD.,2020,,Pre-seed,,
HELIUM PTE. LTD.,2020,,Pre-seed,,
ZNDS GLOBAL TECHNOLOGY PTE. LTD.,2020,,Pre-seed,,
FIRST ANSWER PTE. LTD.,2021,,Pre-seed,,
FORT ONE TECHNOLOGIES PTE. LTD.,2021,,Pre-seed,,
ELEOS VENTURES PTE. LTD.,2021,,Pre-seed,,
GRAIN HOLDINGS PTE. LTD.,2019,,Pre-seed,,
EDGWARE TECHNOLOGY PTE. LTD.,2018,,Pre-seed,,
PALEXY PTE. LTD.,2019,,Pre-seed,,
AMBITION HEALTHCARE PTE. LTD.,2020,,Pre-seed,,
SGPAPERRECYCLE PTE. LTD.,2021,,Pre-seed,,
ZPX PTE. LTD.,2016,,Pre-seed,Fintech; Blockchain,
ZENYUM PTE. LTD.,2018,,Pre-seed,Retail; Healthcare,
RELOGO PTE LTD,2018,,Pre-seed,Infocomm Tech,
Knowledgehut Solutions PTE. LTD.,2017,,Pre-seed,Education,
WANNATALK PTE. LTD.,2017,,Pre-seed,,
Custodio Technologies Pte Ltd,2016,,Pre-seed,AI,
Medilot Technologies Pte Ltd,2018,,Pre-seed,Healthcare; Blockchain; Data Analysis,
STACKSEER TECHNOLOGIES PTE. LTD.,2018,,Pre-seed,Infotech; Blockchain; Data Analysis,
TPA VENTURES PTE. LTD.,2019,,Pre-seed,Infotech; E-Commerce,
SEQUENTIAL PTE. LTD.,2018,,Pre-seed,Biotech; Digital Health,
XWG TECHNOLOGY PTE. LTD.,2018,,Pre-seed,Gaming; Blockchain; IoT,
HGX PTE. LTD.,2019,,Pre-seed,Fintech,
GENIUSU LIMITED,2019,,Pre-seed,Education; AI,
ECOSPIRITS PTE. LTD.,2020,,Pre-seed,Supply Chain & Logistics; Urban Solutions,
KEPIOS PTE. LTD.,2016,,Pre-seed,,
CULTURE GROUP PTE. LTD.,2016,,Pre-seed,,
GIH PTE. LTD.,2017,,Pre-seed,,
JOOMPA PTE. LTD.,2017,,Pre-seed,,
COMMODITIES INTELLIGENCE CENTRE PTE. LTD.,2018,,Pre-seed,,
APAYLATER FINANCIALS PTE. LTD.,2019,,Pre-seed,,
BRANKAS PTE. LTD.,2016,,Pre-seed,,
BLOCKVISION PTE. LTD.,2021,,Pre-seed,,
ESEVEL PTE. LTD.,2020,,Pre-seed,,
NESO BRANDS PTE. LTD.,2021,,Pre-seed,,
RECLIMATE PTE. LTD.,2023,,Pre-seed,,
QUANTEN SEMICONDUCTOR INTERNATIONAL PTE. LTD.,2020,,Pre-seed,,
SODICK SINGAPORE TECHNO CENTRE PTE. LTD.,2017,,Pre-seed,,
SUPERGAMING PTE. LTD.,2019,,Pre-seed,,
WHITECOAT GLOBAL HOLDINGS PTE. LTD.,2021,,Pre-seed,,
DECENTERADS PTE. LTD.,2018,,Pre-seed,,
GRAVITY SUPPLY CHAIN HOLDINGS PTE. LTD.,2021,,Pre-seed,,
TIME INNOVATION PTE. LTD.,2018,,Pre-seed,,
DANA LABS PTE. LTD.,2019,,Pre-seed,,
DIGICAL CONSULTANCY SERVICES PTE. LTD.,2019,,Pre-seed,,
SOL-X PTE. LTD.,2019,,Pre-seed,,
BLACKSCORE PTE. LTD.,2019,,Pre-seed,,
ARROW LABS PTE. LTD.,2020,,Pre-seed,,
CANARY DIGITAL SOLUTIONS PTE. LTD.,2020,,Pre-seed,,
PLANETARIUM LABS PTE. LTD.,2022,,Pre-seed,,
NUADU HOLDING PTE. LTD.,2019,,Pre-seed,,
PAYWISE PTE. LTD.,2021,,Pre-seed,,
STAR3D MATERIAL DEVELOPMENT COMPANY (SINGAPORE) PTE. LTD.,2019,,Pre-seed,,
LIVECOMMERCE ENTERTAINMENT PTE. LTD.,2021,,Pre-seed,,
AUFHAVEN PTE. LTD.,2019,,Pre-seed,,
KUULIE PTE. LTD.,2021,,Pre-seed,,
LEARNA SYSTEMS PTE. LTD.,2017,1 - 10,Pre-seed,Education; Infotech,E-Learning; Learning Platform; Classroom Management
AMARIS.AI PTE. LTD.,2017,,Pre-seed,,
TSMART PTE. LTD.,2019,,Pre-seed,,
KOMME INTERNATIONAL PTE. LTD.,2016,,Pre-seed,,
GAIA ORG FOODS PTE. LTD.,2017,,Pre-seed,,
PROMETHEUS VENTURES PTE. LTD.,2021,,Pre-seed,,
5G TECHNOLOGY PTE. LTD.,2018,,Pre-seed,,
FAST-LAP PTE. LTD.,2017,,Pre-seed,,
WORLD MODE SINGAPORE PTE. LTD.,2017,,Pre-seed,,
WINEXT CORP PTE. LTD.,2017,,Pre-seed,,
ICHX TECH PTE. LTD.,2017,,Pre-seed,,
BLUEMEG HOLDINGS PTE. LTD.,2017,,Pre-seed,,
GCOX TECHNOLOGY PTE. LTD.,2018,,Pre-seed,,
689CLOUD PTE. LTD.,2019,,Pre-seed,,
CRADLES N CRAYONS PTE. LTD.,2022,,Pre-seed,,
DIGIMI PTE. LTD.,2018,,Pre-seed,,
FREIGHTIFY TECHNOLOGIES PTE. LTD.,2022,,Pre-seed,,
INCOMLEND HOLDING PTE. LTD.,2021,,Pre-seed,,
INNOWAVE TECH PTE. LTD.,2019,,Pre-seed,,
LABLACO HOLDING PTE. LTD.,2020,,Pre-seed,,
MEDHYVE PTE. LTD.,2021,,Pre-seed,,
MEDNEFITS HOLDINGS PTE. LTD.,2019,,Pre-seed,,
SIMPLYGOOD (PTE. LTD.),2021,,Pre-seed,,
SMILE TECHNOLOGY PTE. LTD.,2021,,Pre-seed,,
TAN LEONG HUAT PTE. LTD.,2017,,Pre-seed,,
XGROUP GLOBAL PTE. LTD.,2021,,Pre-seed,,
NANRISE PTE. LTD.,2018,,Pre-seed,,
A.F.T. SEA PTE. LTD.,2019,,Pre-seed,,
TALMORE PTE. LTD.,2020,,Pre-seed,,
STARBOARD CORPORATE PTE. LTD.,2021,,Pre-seed,,
RAKKAR DIGITAL HOLDINGS PTE. LTD.,2022,,Pre-seed,,
COLOSO PTE. LTD.,2018,,Pre-seed,,
ADVANCA PTE. LTD.,2019,,Pre-seed,,
PERSISTENCE TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,,
ZAPPZ PTE. LTD.,2020,,Pre-seed,,
SNOWW BOOKS PTE. LTD.,2021,,Pre-seed,,
BUNKER TECHNOLOGIES PTE. LTD.,2021,,Pre-seed,,
YUNOMETA PTE. LTD.,2021,,Pre-seed,,
PANDA CENTURY 360 EDUCATION PTE. LTD.,2022,,Pre-seed,,
HOLDBUILD PTE. LTD.,2018,,Pre-seed,,
UDIFY EDUCATION HOLDINGS PTE. LTD.,2018,,Pre-seed,,
CARMINE THERAPEUTICS HOLDINGS PTE. LTD.,2019,,Pre-seed,,
FRAXTOR GROUP PRIVATE LIMITED,2022,,Pre-seed,,
TWELVE DATA PTE. LTD.,2020,,Pre-seed,,
MIPS INNOVATIONS PTE. LTD.,2018,,Pre-seed,,
EX SPORTS PTE. LTD.,2019,,Pre-seed,,
FERMATICS (PTE.) LTD.,2019,,Pre-seed,,
QOOCO ASIA PTE. LTD.,2018,,Pre-seed,,
SLOWFORM PTE. LTD.,2019,,Pre-seed,,
MANYREQUESTS PTE. LTD.,2020,,Pre-seed,,
PRIMERA ELEVATION TECHNOLOGY PTE. LTD.,2016,,Pre-seed,,
CONNECTEDLIFE HEALTH PTE. LTD.,2020,,Pre-seed,,
GOLDILOCK SECURE ASIA PTE. LTD.,2022,,Pre-seed,,
SPECTRACANN PTE. LTD.,2026,,Pre-seed,,
UNBOUNDX PTE. LTD.,2026,,Pre-seed,,
UNTANGLE AI PTE LTD,2018,,Pre-seed,Infotech; AI,
AIROME TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,Infotech; Fintech,
Pundi X Labs PTE. LTD.,2017,,Pre-seed,Fintech,
Zilliqa Research Pte. Ltd.,2017,,Pre-seed,Blockchain,
ABIVIN Singapore PTE. LTD.,2018,,Pre-seed,Infotech; Supply Chain & Logistics,
Next Gen Protein,2019,,Pre-seed,Food & Beverage,
Haikini Venture,2018,,Pre-seed,Lifestyle,
MPics Innovation Pte. Ltd.,2019,,Pre-seed,Manufacturing & Engineering,
ROVO Pte Ltd,2017,,Pre-seed,Lifestyle,
GREEN LI-ION PTE. LTD.,2020,,Pre-seed,,
Nansen Pte. Ltd.,2020,,Pre-seed,Blockchain; Data Analysis,
RPG COMMERCE HOLDINGS PTE. LTD.,2020,,Pre-seed,Retail; E-Commerce; Infocomm Tech,
DYNASTY KINGDOM PTE. LTD.,2021,,Pre-seed,,
GUMLET PTE. LTD.,2020,,Pre-seed,Adtech; Media; Enterprise Solutions; Lifestyle,
FANTICO PTE. LTD.,2021,,Pre-seed,Blockchain,
IMMUNI SOFTWARE PTE. LTD.,2020,,Pre-seed,Blockchain,
QUISTA TECHNOLOGY PTE. LTD.,2019,,Pre-seed,E-Commerce; Consumer Electronics,
FENCORE PTE. LTD.,2019,,Pre-seed,,
STATWIG GLOBAL PTE. LTD.,2020,,Pre-seed,,
BRIM PRINTERS PTE LTD,2017,1 - 10,Pre-seed,Retail; Industrial Electronics; Manufacturing & Engineering,3D Printing
XDATA ANALYTICS PTE. LTD.,2018,,Pre-seed,AI; Data Analysis,
SLEEK TECH (PTE. LTD.),2017,,Pre-seed,SaaS,
ACTUALLY SANE STUDIOS PTE LTD,2016,,Pre-seed,Gaming; AI; AR/VR,
OCTOPUS8 PRIVATE LIMITED,2017,,Pre-seed,Infocomm Tech,
Cerebry PTE. LTD.,2016,,Pre-seed,Education; AI,
Crown Digital IO,2018,,Pre-seed,Retail; AI; Robotics,
CRELY HEALTHCARE PTE. LIMITED,2018,,Pre-seed,Healthcare; SaaS,
Blinkfreight PTE. LTD.,2018,,Pre-seed,Supply Chain & Logistics,
InfoCorp Technologies,2018,,Pre-seed,Agritech; Fintech; Blockchain,
Mozox Pte Ltd,2018,,Pre-seed,Blockchain,
Carmine Therapeutics Pte Ltd,2019,,Pre-seed,Biotech,
Borneo,2018,,Pre-seed,Enterprise Solutions,
LUMIQ PTE. LTD.,2017,,Pre-seed,Others,
NPX POINT AVENUE PTE. LTD.,2018,,Pre-seed,Education; Infocomm Tech,
ALTO SOFTWARE PTE. LTD.,2018,,Pre-seed,Gaming,
XEN CAPITAL ASIA PTE. LTD.,2017,,Pre-seed,Fintech,
BERYLLIUM VENTURES PTE. LTD.,2018,,Pre-seed,Fintech; Blockchain,
A!maginostic PTE. LTD.,2017,,Pre-seed,Healthcare,
HISHAB SINGAPORE PRIVATE LIMITED,2017,,Pre-seed,Telecom; AI,
RISIKOTEK PTE. LTD.,2018,,Pre-seed,,
LIAN FONG CAPITAL PTE. LTD.,2019,,Pre-seed,,
BACSENSE TECHNOLOGY PTE. LTD.,2019,,Pre-seed,,
OCEAN PURPOSE PROJECT PTE. LTD.,2020,,Pre-seed,,
IAPP SG TECHNOLOGY PTE. LTD.,2018,,Pre-seed,,
AVIRTECH SOLUTIONS PTE. LTD.,2017,,Pre-seed,,
ASTRID AESTHETICS PTE. LTD.,2019,,Pre-seed,,
VITRUVIANMD PTE. LTD.,2018,,Pre-seed,,
SIMPPLE PTE. LTD.,2020,,Pre-seed,,
